순번,대장_종류,시군구_명,법정동_명,대지_구분,본번,부번,건물명,주_용도,기타_용도,옥내_기계식_대수,옥외_기계식_대수,옥내_자주식_대수,옥외_자주식_대수,총대수
1,총괄표제부,서울특별시 광진구,화양동,대지,529,0,채움하우스,공동주택,"도시형생활주택(단지형다세대),제1,2종근린생활시설(소매점,사무소)",,,13,6,19
2,총괄표제부,서울특별시 광진구,능동,대지,245,3,연승파크빌,공동주택,다세대주택(도시형생활주택(단지형다세대주택),,,10,6,16
3,총괄표제부,서울특별시 광진구,중곡동,대지,110,33,,공동주택,공동주택(연립주택),0,0,0,0,0
4,총괄표제부,서울특별시 광진구,중곡동,대지,138,24,,공동주택,"근린생활시설(점포), 주택",0,0,0,0,0
5,총괄표제부,서울특별시 광진구,중곡동,대지,94,7,.,공동주택,단지형 다세대 주택(20세대),,,10,6,16
6,총괄표제부,서울특별시 광진구,구의동,대지,207,49,,공동주택,다세대주택,0,0,0,3,3
7,총괄표제부,서울특별시 광진구,구의동,대지,610,0,현대아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,180,106,286
8,총괄표제부,서울특별시 광진구,자양동,대지,788,0,자양7차현대홈타운,공동주택,"공동주택, 부대복리시설",0,0,213,54,267
9,총괄표제부,서울특별시 광진구,자양동,대지,553,517,,공동주택,공동주택(연립주택),0,0,0,0,0
10,총괄표제부,서울특별시 광진구,자양동,대지,641,0,경남아파트,공동주택,공동주택(아파트),0,0,193,56,249
11,총괄표제부,서울특별시 광진구,중곡동,대지,190,1,,공동주택,다세대주택,,,,,0
12,총괄표제부,서울특별시 광진구,광장동,대지,383,0,워커힐빌리지,공동주택,"공동주택,연립주택19세대",,,22,10,32
13,총괄표제부,서울특별시 광진구,자양동,대지,793,0,우방리버파크,공동주택,공동주택,,,197,25,222
14,총괄표제부,서울특별시 광진구,광장동,대지,579,0,광장11차 현대홈타운,공동주택,공동주택(연립주택) 및 부대복리시설,0,0,178,4,182
15,총괄표제부,서울특별시 광진구,중곡동,대지,121,35,삼성아트빌B,공동주택,"공동주택,다세대주택",,,8,,8
16,총괄표제부,서울특별시 광진구,군자동,대지,175,0,,공동주택,다세대주택,0,0,0,0,0
17,총괄표제부,서울특별시 광진구,중곡동,대지,94,29,,공동주택,공동주택(연립주택),0,0,0,0,0
18,총괄표제부,서울특별시 광진구,광장동,대지,453,1,삼성아파트,공동주택,"아파트, 근린생활시설(상가)",0,0,0,0,0
19,총괄표제부,서울특별시 광진구,중곡동,대지,175,6,,공동주택,도시형생활주택(단지형다세대주택 28세대),,,20,,20
20,총괄표제부,서울특별시 광진구,자양동,대지,666,24,행복나무,공동주택,도시형생활주택(단지형다세대)16세대,,,,12,12
21,총괄표제부,서울특별시 광진구,중곡동,대지,173,41,현진 에코빌,공동주택,공동주택(도시형생활주택 단지형다세대 24세대),,,10,9,19
22,총괄표제부,서울특별시 광진구,중곡동,대지,297,1,풍경채,공동주택,도시형생활주택 단지형 다세대,,,10,6,16
23,총괄표제부,서울특별시 광진구,군자동,대지,16,0,미리내,공동주택,도시형생활주택(단지형다세대 17세대),,,14,,14
24,총괄표제부,서울특별시 광진구,구의동,대지,211,14,화이트빌,공동주택,다세대주택,,,7,2,9
25,총괄표제부,서울특별시 광진구,자양동,대지,672,5,강변愛 팰리스,공동주택,공동주택(도시형생활주택(단지형다세대 20세대)),,,7,7,14
26,총괄표제부,서울특별시 광진구,자양동,대지,622,8,자양에스하임4,공동주택,도시형생활주택 원룸형(25세대),,,14,,14
27,총괄표제부,서울특별시 광진구,화양동,대지,16,41,,공동주택,"근린생활시설, 의료시설",0,0,0,0,0
28,총괄표제부,서울특별시 광진구,구의동,대지,48,12,욱현하이브빌,공동주택,도시형생활주택(단지형다세대-24세대),,,10,8,18
29,총괄표제부,서울특별시 광진구,중곡동,대지,90,12,대성예가,공동주택,도시형생활주택단지형다세대,,,,16,16
30,총괄표제부,서울특별시 광진구,광장동,대지,276,2,,공동주택,도시형생활주택(단지형다세대-20세대) 및 제2종근린생활시설(사무소),,,7,9,16
31,총괄표제부,서울특별시 광진구,중곡동,대지,613,6,샤인빌 15차,공동주택,도시형생활주택(단지형다세대-20세대),,,12,4,16
32,총괄표제부,서울특별시 광진구,중곡동,대지,239,9,인화빌3,공동주택,도시형생활주택단지형다세대(18세대),,,11,4,15
33,총괄표제부,서울특별시 광진구,자양동,대지,589,7,한양팰리스,공동주택,"도시형생활주택(단지형다세대-28세대),제2종근린생활시설",,,14,9,23
34,총괄표제부,서울특별시 광진구,구의동,대지,210,10,삼원 펠릭스,공동주택,도시형생활주택(단지형다세대),,,20,1,21
35,총괄표제부,서울특별시 광진구,중곡동,대지,24,12,the 리치빌,공동주택,도시형생활주택단지형다세대(22세대),,,8,8,16
36,총괄표제부,서울특별시 광진구,구의동,대지,224,5,,공동주택,다세대주택,,,,,0
37,총괄표제부,서울특별시 광진구,구의동,대지,254,119,,공동주택,공동주택(다세대주택),0,0,0,0,0
38,총괄표제부,서울특별시 광진구,구의동,대지,631,1,현대프라임아파트,공동주택,"공동주택(아파트), 부대복리시설",69,0,1636,380,2085
39,총괄표제부,서울특별시 광진구,광장동,대지,580,0,광장12차현대홈타운,공동주택,공동주택(아파트),0,0,277,0,277
40,총괄표제부,서울특별시 광진구,구의동,대지,29,11,현대 빌라,공동주택,공동주택(다세대주택),,,14,,14
41,총괄표제부,서울특별시 광진구,군자동,대지,130,23,더엠하우스,공동주택,"도시형생활주택(단지형다세대-17세대),제2종근린생활시설(사무소)",,,,14,14
42,총괄표제부,서울특별시 광진구,능동,대지,396,1,한울위너스빌,공동주택,도시형생활주택(단지형다세대주택)16세대,,,9,3,12
43,총괄표제부,서울특별시 광진구,중곡동,대지,605,4,신우에코밸리,공동주택,공동주택-다세대주택(도시형 생활주택),,,22,,22
44,총괄표제부,서울특별시 광진구,자양동,대지,794,1,한강아르떼빌,공동주택,"근린생활시설(2호),업무시설(오피스텔-4호),도시형생활주택단지형다세대(20세대))",,,15,5,20
45,총괄표제부,서울특별시 광진구,자양동,대지,861,0,자양 호반써밋,공동주택,"공동주택(아파트),업무시설(오피스텔),근린생활시설",,,420,,420
46,총괄표제부,서울특별시 광진구,중곡동,대지,211,24,가든시티,공동주택,도시형생활주택(단지형다세대) 및 근린생활시설,,,11,5,16
47,총괄표제부,서울특별시 광진구,구의동,대지,204,4,조일리더스빌,공동주택,공동주택(도시형생활주택 단지형다세대 20세대),,,,16,16
48,총괄표제부,서울특별시 광진구,군자동,대지,68,6,,공동주택,주택,0,0,0,0,0
49,총괄표제부,서울특별시 광진구,능동,대지,246,15,,공동주택,"공동주택,제1종근린생활시설",,,8,3,11
50,총괄표제부,서울특별시 광진구,자양동,대지,516,3,,공동주택,"생활편익시설(판매시설, 근린생활시설)",,,,,0
51,총괄표제부,서울특별시 광진구,군자동,대지,99,0,일성파크아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,210,152,362
52,총괄표제부,서울특별시 광진구,군자동,대지,100,100,,공동주택,다세대주택,0,0,0,0,0
53,총괄표제부,서울특별시 광진구,군자동,대지,100,101,,공동주택,다세대 주택,0,0,0,6,6
54,총괄표제부,서울특별시 광진구,자양동,대지,231,5,자양 에스하임9,공동주택,다세대주택(22세대),,,,15,15
55,총괄표제부,서울특별시 광진구,자양동,대지,768,8,,공동주택,,,,,,0
56,총괄표제부,서울특별시 광진구,구의동,대지,45,5,나경 그린빌,공동주택,도시형생활주택:단지형다세대주택,,,13,,13
57,총괄표제부,서울특별시 광진구,구의동,대지,36,19,,공동주택,다세대주택,,,,,0
58,총괄표제부,서울특별시 광진구,자양동,대지,10,7,,공동주택,공동주택,,,,,0
59,총괄표제부,서울특별시 광진구,광장동,대지,577,0,광장현대파크빌,공동주택,"공동주택, 생활편익시설",0,0,1118,90,1208
60,총괄표제부,서울특별시 광진구,구의동,대지,204,28,가온빌,공동주택,단지형 다세대주택,,,9,4,13
61,총괄표제부,서울특별시 광진구,구의동,대지,596,9,힐카운티9,공동주택,"공동주택(도시형생활주택 단지형다세대-29세대)),제1종근린생활시설(소매점)",,,13,9,22
62,총괄표제부,서울특별시 광진구,자양동,대지,792,0,자양10차현대홈타운,공동주택,공동주택,,,260,64,324
63,총괄표제부,서울특별시 광진구,중곡동,대지,115,10,,공동주택,"주택, 근린생활시설",,,,,0
64,총괄표제부,서울특별시 광진구,중곡동,대지,169,92,,공동주택,주택,,,,,0
65,총괄표제부,서울특별시 광진구,중곡동,대지,132,3,성원아트빌,공동주택,공동주택,,,7,1,8
66,총괄표제부,서울특별시 광진구,구의동,대지,211,17,화이트빌,공동주택,공동주택(다세대주택),,,12,,12
67,총괄표제부,서울특별시 광진구,중곡동,대지,259,9,,공동주택,공동주택(다세대주택),0,0,0,0,0
68,총괄표제부,서울특별시 광진구,중곡동,대지,292,0,에스케이아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,200,26,226
69,총괄표제부,서울특별시 광진구,중곡동,대지,191,77,,공동주택,공동주택(아파트),0,0,0,0,0
70,총괄표제부,서울특별시 광진구,광장동,대지,145,8,워커힐아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,0,0,0
71,총괄표제부,서울특별시 광진구,광장동,대지,212,12,광장극동아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,0,0,0
72,총괄표제부,서울특별시 광진구,광장동,대지,218,1,극동아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,0,0,0
73,총괄표제부,서울특별시 광진구,광장동,대지,266,0,,공동주택,공동주택,0,0,0,0,0
74,총괄표제부,서울특별시 광진구,광장동,대지,269,3,,공동주택,공동주택,0,0,0,0,0
75,총괄표제부,서울특별시 광진구,광장동,대지,332,9,극동빌라,공동주택,연립주택,0,0,0,0,0
76,총괄표제부,서울특별시 광진구,광장동,대지,355,2,,공동주택,공동주택,0,0,0,0,0
77,총괄표제부,서울특별시 광진구,광장동,대지,362,0,워커힐아파트,공동주택,공동주택,0,0,0,0,0
78,총괄표제부,서울특별시 광진구,광장동,대지,372,1,워커힐파크빌,공동주택,공동주택(다세대주택),0,0,9,10,19
79,총괄표제부,서울특별시 광진구,광장동,대지,372,3,워커힐파크빌,공동주택,공동주택(다세대주택),0,0,0,9,9
80,총괄표제부,서울특별시 광진구,광장동,대지,388,3,"건물1,2동",공동주택,다세대주택,0,0,0,3,3
81,총괄표제부,서울특별시 광진구,광장동,대지,484,0,광장현대3단지아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,177,335,512
82,총괄표제부,서울특별시 광진구,광장동,대지,554,7,광장현대아파트,공동주택,"공동주택, 판매시설",0,0,0,0,0
83,총괄표제부,서울특별시 광진구,광장동,대지,561,0,삼성아파트,공동주택,"공동주택, 근린생활시설",0,0,0,0,0
84,총괄표제부,서울특별시 광진구,광장동,대지,565,0,현대아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,496,160,656
85,총괄표제부,서울특별시 광진구,광장동,대지,566,0,청구아파트,공동주택,"공동주택(아파트), 부대복리시설",20,0,363,132,515
86,총괄표제부,서울특별시 광진구,광장동,대지,567,0,광나루현대아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,239,115,354
87,총괄표제부,서울특별시 광진구,광장동,대지,569,0,현대아파트,공동주택,"아파트, 부대복리시설",0,0,165,25,190
88,총괄표제부,서울특별시 광진구,광장동,대지,576,0,현대아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,356,72,428
89,총괄표제부,서울특별시 광진구,광장동,대지,578,0,광장동금호베스트빌,공동주택,공동주택,0,0,230,20,250
90,총괄표제부,서울특별시 광진구,자양동,대지,662,16,한양팰리스,공동주택,"도시형생활주택단지형다세대(29세대), 근린생활시설",,,15,4,19
91,총괄표제부,서울특별시 광진구,중곡동,대지,0,0,대성예가,공동주택,도시형생활주택단지형다세대,,,,16,16
92,총괄표제부,서울특별시 광진구,중곡동,대지,646,22,,공동주택,공동주택(다세대주택),,,9,7,16
93,총괄표제부,서울특별시 광진구,중곡동,대지,18,24,신향빌라,공동주택,"공동주택(연립주택), 관리실, 노인정",0,0,0,0,0
94,총괄표제부,서울특별시 광진구,중곡동,대지,18,25,,공동주택,공동주택(연립주택),0,0,0,0,0
95,총괄표제부,서울특별시 광진구,화양동,대지,19,53,KY동부빌,공동주택,공동주택-다세대주택(도시형생활주택:단지형 다세대주택),,,16,,16
96,총괄표제부,서울특별시 광진구,중곡동,대지,163,32,,공동주택,공동주택(연립주택),0,0,0,0,0
97,총괄표제부,서울특별시 광진구,중곡동,대지,163,33,,공동주택,공동주택(연립주택),0,0,0,0,0
98,총괄표제부,서울특별시 광진구,중곡동,대지,163,34,,공동주택,공동주택(연립주택),0,0,0,0,0
99,총괄표제부,서울특별시 광진구,중곡동,대지,163,35,,공동주택,공동주택(연립주택),0,0,0,0,0
100,총괄표제부,서울특별시 광진구,중곡동,대지,163,36,,공동주택,공동주택(연립주택),0,0,0,0,0
101,총괄표제부,서울특별시 광진구,중곡동,대지,172,25,,공동주택,공동주택(다세대주택),0,0,0,0,0
102,총괄표제부,서울특별시 광진구,중곡동,대지,190,26,,공동주택,공동주택(아파트),0,0,0,0,0
103,총괄표제부,서울특별시 광진구,중곡동,대지,163,6,,공동주택,공동주택(연립주택),0,0,0,0,0
104,총괄표제부,서울특별시 광진구,구의동,대지,663,0,아차산 포레안,공동주택,공동주택(아파트),,,150,,150
105,총괄표제부,서울특별시 광진구,능동,대지,241,10,하우젠파크빌,공동주택,도시형생활주택(단지형다세대-14세대),,,,11,11
106,총괄표제부,서울특별시 광진구,중곡동,대지,76,22,라펠리즈,공동주택,도시형생활주택(단지형다세대-20세대),,,,15,15
107,총괄표제부,서울특별시 광진구,구의동,대지,669,0,에버그린,공동주택,"도시형생활주택단지형다세대, 근린생활시설",,,13,7,20
108,총괄표제부,서울특별시 광진구,자양동,대지,649,16,자양에스하임10,공동주택,도시형생활주택(원룸형-29세대),,,14,,14
109,총괄표제부,서울특별시 광진구,구의동,대지,257,3,동산캐슬,공동주택,도시형생활주택(단지형다세대주택-16세대),,,3,5,8
110,총괄표제부,서울특별시 광진구,구의동,대지,204,15,빌라드리치,공동주택,도시형생활주택 단지형다세대주택,,,,14,14
111,총괄표제부,서울특별시 광진구,능동,대지,245,6,더에이치,공동주택,도시형생활주택(단지형다세대주택),,,,15,15
112,총괄표제부,서울특별시 광진구,군자동,대지,346,18,,공동주택,공동주택,,,,,0
113,총괄표제부,서울특별시 광진구,자양동,대지,811,0,,공동주택,공동주택,,,,,0
114,총괄표제부,서울특별시 광진구,자양동,대지,810,0,,공동주택,공동주택,,,,,0
115,총괄표제부,서울특별시 광진구,자양동,대지,853,0,광진 한화꿈에그린아파트,공동주택,"공동주택,아파트",,,194,,194
116,총괄표제부,서울특별시 광진구,구의동,대지,661,0,용마홈타운,공동주택,공동주택(연립주택),,,34,1,35
117,총괄표제부,서울특별시 광진구,광장동,대지,388,4,"광장빌라 A동,B동",공동주택,공동주택,,,,2,2
118,총괄표제부,서울특별시 광진구,자양동,대지,774,1,해비치빌,공동주택,공동주택,0,0,13,6,19
119,총괄표제부,서울특별시 광진구,자양동,대지,222,17,,공동주택,"주택, 점포",0,0,0,0,0
120,총괄표제부,서울특별시 광진구,자양동,대지,589,16,한양팰리스,공동주택,도시형생활주택(단지형다세대주택-20세대),,,10,6,16
121,총괄표제부,서울특별시 광진구,능동,대지,380,0,대명이튼캐슬,공동주택,도시형생활주택(단지형다세대),,,21,,21
122,총괄표제부,서울특별시 광진구,광장동,대지,250,0,광장동 신동아 파밀리에,공동주택,공동주택,,,353,,353
123,총괄표제부,서울특별시 광진구,중곡동,대지,150,300,중곡동 퍼즐주택,공동주택,도시형생활주택단지형다세대(20세대),,,6,9,15
124,총괄표제부,서울특별시 광진구,자양동,대지,803,4,진연빌,공동주택,도시형생활주택(단지형다세대),,,,12,12
125,총괄표제부,서울특별시 광진구,중곡동,대지,686,13,,공동주택,도시형생활주택단지형다세대(18세대),,,12,3,15
126,총괄표제부,서울특별시 광진구,구의동,대지,204,25,SKY 파크 뷰,공동주택,도시형생활주택(단지형다세대),,,,14,14
127,총괄표제부,서울특별시 광진구,중곡동,대지,245,2,,공동주택,도시형생활주택단지형다세대(20세대),,,11,5,16
128,총괄표제부,서울특별시 광진구,구의동,대지,650,11,"주함해븐힐(A동,B동)",공동주택,공동주택,,,,16,16
129,총괄표제부,서울특별시 광진구,자양동,대지,474,5,,공동주택,공동주택(다세대주택),0,0,0,0,0
130,총괄표제부,서울특별시 광진구,자양동,대지,474,8,,공동주택,공동주택(연립주택),0,0,0,0,0
131,총괄표제부,서울특별시 광진구,자양동,대지,493,12,,공동주택,다세대주택(15세대),0,0,0,4,4
132,총괄표제부,서울특별시 광진구,자양동,대지,512,5,,공동주택,다세대주택,0,0,0,0,0
133,총괄표제부,서울특별시 광진구,자양동,대지,512,6,,공동주택,공동주택(다세대주택),0,0,0,0,0
134,총괄표제부,서울특별시 광진구,자양동,대지,512,7,,공동주택,공동주택(다세대주택),0,0,0,0,0
135,총괄표제부,서울특별시 광진구,자양동,대지,516,0,자양우성3차아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,0,193,193
136,총괄표제부,서울특별시 광진구,자양동,대지,520,2,우성아파트,공동주택,"공동주택(아파트), 복리시설",0,0,0,0,0
137,총괄표제부,서울특별시 광진구,자양동,대지,553,41,자양우성5차아파트,공동주택,"공동주택(아파트), 부대시설",0,0,0,41,41
138,총괄표제부,서울특별시 광진구,자양동,대지,578,0,자양우성4차아파트,공동주택,공동주택,0,0,0,51,51
139,총괄표제부,서울특별시 광진구,자양동,대지,579,0,우성아파트,공동주택,"공동주택(아파트), 생활편익시설",0,0,0,0,0
140,총괄표제부,서울특별시 광진구,자양동,대지,585,16,,공동주택,공동주택(연립주택),0,0,0,0,0
141,총괄표제부,서울특별시 광진구,자양동,대지,586,1,,공동주택,공동주택(연립주택),0,0,0,0,0
142,총괄표제부,서울특별시 광진구,자양동,대지,642,0,자양5차현대아파트,공동주택,"아파트, 부대복리시설, 생활편익시설",0,0,242,36,278
143,총괄표제부,서울특별시 광진구,자양동,대지,644,0,로얄동아아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,252,73,325
144,총괄표제부,서울특별시 광진구,자양동,대지,645,5,자양동현대아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,81,78,159
145,총괄표제부,서울특별시 광진구,자양동,대지,660,18,,공동주택,공동주택(다세대주택),0,0,0,0,0
146,총괄표제부,서울특별시 광진구,자양동,대지,666,28,경남아너스빌,공동주택,"아파트, 생활편익시설",0,0,88,54,142
147,총괄표제부,서울특별시 광진구,자양동,대지,670,0,자양현대3차아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,182,158,340
148,총괄표제부,서울특별시 광진구,자양동,대지,673,0,현대강변아파트,공동주택,"공동주택(아파트), 부대복리시설",0,0,64,62,126
